Prompt,Category
Recharged Jio mobile plan for the month.,Utilities
Watched a play at Prithvi Theatre.,Entertainment
Ordered a full South Indian thali from Swiggy.,Dining
Settled rental agreement paperwork costs.,Rent
Stopped by a local kirana shop for daily essentials.,Groceries
Bought first-aid essentials from MedPlus.,Healthcare
Had a dental cleaning session at Clove Dental.,Healthcare
Paid for a trekking adventure in Himachal.,Entertainment
Took an auto-rickshaw to the office.,Travel
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Bought a gaming mouse from Flipkart.,Entertainment
Paid for a train sleeper class ticket on IRCTC.,Travel
Booked an auto ride via Rapido.,Transportation
Booked an auto ride via Rapido.,Transportation
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Bought a gaming mouse from Flipkart.,Entertainment
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Bought gold jewelry from Tanishq.,Shopping
Paid consultation fees at AIIMS Delhi.,Healthcare
Bought medicines from Apollo Pharmacy.,Healthcare
Got fresh paneer and vegetables from the local mandi.,Groceries
Attended a music concert at NSCI Dome.,Entertainment
Bought a silk saree from Nalli Silks.,Shopping
Went for a fine dining experience at Taj Vivanta.,Dining
Went for a fine dining experience at Taj Vivanta.,Dining
Bought a Delhi Metro smart card recharge.,Travel
Bought organic groceries from Nature’s Basket.,Groceries
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Got eye checkup and glasses from Lenskart.,Healthcare
Had a dosa and filter coffee at MTR Bangalore.,Dining
Got fresh paneer and vegetables from the local mandi.,Groceries
Paid my LPG gas bill for Indane.,Utilities
Transferred rent for my Bangalore apartment.,Rent
Took an e-rickshaw ride in Delhi.,Transportation
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Purchased a Kindle book from Amazon.,Entertainment
Transferred rent for my Bangalore apartment.,Rent
Bought a subscription to Economic Times online.,Subscriptions
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Purchased a laptop from Vijay Sales.,Shopping
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Bought medicines from Apollo Pharmacy.,Healthcare
Got eye checkup and glasses from Lenskart.,Healthcare
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Paid for excess baggage at Mumbai Airport.,Travel
Attended a music concert at NSCI Dome.,Entertainment
Bought an annual Amazon Prime membership.,Subscriptions
Took an e-rickshaw ride in Delhi.,Transportation
Rented a self-drive Zoomcar for a weekend trip.,Travel
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Transferred rent for my Bangalore apartment.,Rent
Rented a self-drive Zoomcar for a weekend trip.,Travel
Ordered a smartwatch from Croma online.,Shopping
Bought an AC chair car ticket from IRCTC.,Travel
Ordered grocery essentials from Jiomart online.,Groceries
Purchased health insurance from HDFC Ergo.,Healthcare
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Ordered biryani from Paradise Biryani House.,Dining
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Paid the BSNL landline bill.,Utilities
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Ordered grocery essentials from Jiomart online.,Groceries
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Bought gold jewelry from Tanishq.,Shopping
Renewed Cult.fit gym membership for six months.,Subscriptions
Paid for a Zee5 yearly subscription.,Subscriptions
Paid for excess baggage at Mumbai Airport.,Travel
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Had a dosa and filter coffee at MTR Bangalore.,Dining
Settled the maintenance charges for my society.,Utilities
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Recharged my FASTag for highway travel.,Transportation
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Refilled CNG in my vehicle at an HP station.,Transportation
Paid the DTH recharge for Tata Sky.,Utilities
Bought a subscription to Economic Times online.,Subscriptions
Settled rental agreement paperwork costs.,Rent
Attended a music concert at NSCI Dome.,Entertainment
Bought an annual Amazon Prime membership.,Subscriptions
Paid for a Zee5 yearly subscription.,Subscriptions
Bought ethnic wear from Fabindia.,Shopping
Bought a Spotify Premium annual plan.,Entertainment
Paid the DTH recharge for Tata Sky.,Utilities
Purchased health insurance from HDFC Ergo.,Healthcare
Bought organic groceries from Nature’s Basket.,Groceries
Paid the BSNL landline bill.,Utilities
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Watched a play at Prithvi Theatre.,Entertainment
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Bought organic groceries from Nature’s Basket.,Groceries
Bought medicines from Apollo Pharmacy.,Healthcare
Bought an annual Amazon Prime membership.,Subscriptions
Settled rental agreement paperwork costs.,Rent
Settled rental agreement paperwork costs.,Rent
Paid for excess baggage at Mumbai Airport.,Travel
Made an early EMI payment for home loan.,Rent
Booked an auto ride via Rapido.,Transportation
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Transferred rent for my Bangalore apartment.,Rent
Covered plumbing repair costs for a leakage issue.,Utilities
Paid my LPG gas bill for Indane.,Utilities
Paid for a Zee5 yearly subscription.,Subscriptions
Bought an annual Amazon Prime membership.,Subscriptions
Recharged my FASTag for highway travel.,Transportation
Tried out street food at Sarafa Bazaar in Indore.,Dining
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Purchased a fitness band from Cult.fit.,Healthcare
Renewed my Tata Sky DTH subscription.,Subscriptions
Paid security deposit for a new flat in Pune.,Rent
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Paid the DTH recharge for Tata Sky.,Utilities
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Upgraded my Netflix plan to premium.,Subscriptions
Booked an Uber to the railway station.,Travel
Settled rental agreement paperwork costs.,Rent
Paid for a trekking adventure in Himachal.,Entertainment
Hired an Ola cab for an outstation trip.,Travel
Paid PG accommodation fees via NoBroker.,Rent
Attended a music concert at NSCI Dome.,Entertainment
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Had a dosa and filter coffee at MTR Bangalore.,Dining
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Paid the BSNL landline bill.,Utilities
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Purchased a laptop from Vijay Sales.,Shopping
Bought a Spotify Premium annual plan.,Entertainment
Had a dosa and filter coffee at MTR Bangalore.,Dining
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Had a dosa and filter coffee at MTR Bangalore.,Dining
Reserved a flight ticket via MakeMyTrip.,Travel
Paid rent for my co-living space at Zolo.,Rent
Got fresh paneer and vegetables from the local mandi.,Groceries
Purchased health insurance from HDFC Ergo.,Healthcare
Tried out street food at Sarafa Bazaar in Indore.,Dining
Bought a gaming mouse from Flipkart.,Entertainment
Ordered grocery essentials from Jiomart online.,Groceries
Paid for a Zee5 yearly subscription.,Subscriptions
Tried out street food at Sarafa Bazaar in Indore.,Dining
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Recharged Jio mobile plan for the month.,Utilities
Picked up sportswear from Decathlon.,Shopping
Settled the maintenance charges for my society.,Utilities
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Paid the DTH recharge for Tata Sky.,Utilities
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Took an auto-rickshaw to the office.,Travel
Paid rent for my co-living space at Zolo.,Rent
Took an auto-rickshaw to the office.,Travel
Stopped by a local kirana shop for daily essentials.,Groceries
Had a dosa and filter coffee at MTR Bangalore.,Dining
Ordered a smartwatch from Croma online.,Shopping
Cleared my Airtel broadband bill.,Utilities
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Paid for car parking at Phoenix Mall.,Transportation
Took an e-rickshaw ride in Delhi.,Transportation
Made an early EMI payment for home loan.,Rent
Paid my LPG gas bill for Indane.,Utilities
Purchased a laptop from Vijay Sales.,Shopping
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Settled lease extension fees for my flat.,Rent
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Cleared my Airtel broadband bill.,Utilities
Rented a self-drive Zoomcar for a weekend trip.,Travel
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Went for a fine dining experience at Taj Vivanta.,Dining
Paid my LPG gas bill for Indane.,Utilities
Bought medicines from Apollo Pharmacy.,Healthcare
Booked a Volvo bus to Bangalore via RedBus.,Travel
Picked up sportswear from Decathlon.,Shopping
Had a masala dosa from Saravana Bhavan.,Dining
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Bought a subscription to Economic Times online.,Subscriptions
Bought a gaming mouse from Flipkart.,Entertainment
Transferred rent to the landlord via Google Pay.,Rent
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Purchased health insurance from HDFC Ergo.,Healthcare
Paid PG accommodation fees via NoBroker.,Rent
Got eye checkup and glasses from Lenskart.,Healthcare
Bought ethnic wear from Fabindia.,Shopping
Watched a play at Prithvi Theatre.,Entertainment
Made an early EMI payment for home loan.,Rent
Had chai and samosas at a local tea stall.,Dining
Attended a music concert at NSCI Dome.,Entertainment
Paid consultation fees at AIIMS Delhi.,Healthcare
Paid PG accommodation fees via NoBroker.,Rent
Got a designer lehenga from Manyavar.,Shopping
Took an auto-rickshaw to the office.,Travel
Paid for a train sleeper class ticket on IRCTC.,Travel
Got a Kurti from Biba for an event.,Shopping
Cleared municipal water tax online.,Utilities
Paid for excess baggage at Mumbai Airport.,Travel
Purchased a laptop from Vijay Sales.,Shopping
Bought a monthly metro pass for Chennai Metro.,Transportation
Refilled CNG in my vehicle at an HP station.,Transportation
Got a Kurti from Biba for an event.,Shopping
Got a Kurti from Biba for an event.,Shopping
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Bought a gaming mouse from Flipkart.,Entertainment
Bought an annual Amazon Prime membership.,Subscriptions
Paid PG accommodation fees via NoBroker.,Rent
Bought ethnic wear from Fabindia.,Shopping
Paid for a trekking adventure in Himachal.,Entertainment
Paid the BSNL landline bill.,Utilities
Bought a silk saree from Nalli Silks.,Shopping
Settled the maintenance charges for my society.,Utilities
Recharged Jio mobile plan for the month.,Utilities
Paid for car parking at Phoenix Mall.,Transportation
Took an auto-rickshaw to the office.,Travel
Bought a gaming mouse from Flipkart.,Entertainment
Paid my LPG gas bill for Indane.,Utilities
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Booked an Uber to the railway station.,Travel
Cleared monthly rent through UPI transfer.,Rent
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Made an early EMI payment for home loan.,Rent
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Covered plumbing repair costs for a leakage issue.,Utilities
Attended a stand-up comedy show in Mumbai.,Entertainment
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Ordered a pair of sneakers from Flipkart.,Shopping
Bought medicines from Apollo Pharmacy.,Healthcare
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Recharged my FASTag for highway travel.,Transportation
Bought a gaming mouse from Flipkart.,Entertainment
Upgraded my Netflix plan to premium.,Subscriptions
Paid for car parking at Phoenix Mall.,Transportation
Bought ethnic wear from Fabindia.,Shopping
Paid rent for my co-living space at Zolo.,Rent
Booked an Uber to the railway station.,Travel
Paid consultation fees at AIIMS Delhi.,Healthcare
Made an early EMI payment for home loan.,Rent
Bought a silk saree from Nalli Silks.,Shopping
Bought an annual Amazon Prime membership.,Subscriptions
Booked a Volvo bus to Bangalore via RedBus.,Travel
Bought medicines from Apollo Pharmacy.,Healthcare
Paid PG accommodation fees via NoBroker.,Rent
Settled rental agreement paperwork costs.,Rent
Got a Kurti from Biba for an event.,Shopping
Settled the maintenance charges for my society.,Utilities
Booked an auto ride via Rapido.,Transportation
Renewed my Tata Sky DTH subscription.,Subscriptions
Paid for car parking at Phoenix Mall.,Transportation
Bought first-aid essentials from MedPlus.,Healthcare
Bought an annual Amazon Prime membership.,Subscriptions
Renewed my Tata Sky DTH subscription.,Subscriptions
Tried out street food at Sarafa Bazaar in Indore.,Dining
Ordered biryani from Paradise Biryani House.,Dining
Paid my LPG gas bill for Indane.,Utilities
Had a dental cleaning session at Clove Dental.,Healthcare
Watched a play at Prithvi Theatre.,Entertainment
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Paid consultation fees at AIIMS Delhi.,Healthcare
Bought an AC chair car ticket from IRCTC.,Travel
Paid for a Zee5 yearly subscription.,Subscriptions
Bought first-aid essentials from MedPlus.,Healthcare
Bought gold jewelry from Tanishq.,Shopping
Ordered a smartwatch from Croma online.,Shopping
Bought gold jewelry from Tanishq.,Shopping
Recharged my FASTag for highway travel.,Transportation
Transferred rent to the landlord via Google Pay.,Rent
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Paid for a Zee5 yearly subscription.,Subscriptions
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Signed up for a Udemy course on Python.,Subscriptions
Paid for a train sleeper class ticket on IRCTC.,Travel
Paid my LPG gas bill for Indane.,Utilities
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Hired an Ola cab for an outstation trip.,Travel
Paid for a train sleeper class ticket on IRCTC.,Travel
Purchased health insurance from HDFC Ergo.,Healthcare
Bought medicines from Apollo Pharmacy.,Healthcare
Renewed Cult.fit gym membership for six months.,Subscriptions
Made an early EMI payment for home loan.,Rent
Recharged Jio mobile plan for the month.,Utilities
Paid PG accommodation fees via NoBroker.,Rent
Hired an Ola cab for an outstation trip.,Travel
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Took a COVID-19 test at SRL Diagnostics.,Healthcare
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Picked up sportswear from Decathlon.,Shopping
Settled the maintenance charges for my society.,Utilities
Bought organic groceries from Nature’s Basket.,Groceries
Cleared my Airtel broadband bill.,Utilities
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Paid security deposit for a new flat in Pune.,Rent
Cleared my Airtel broadband bill.,Utilities
Refueled my car at an Indian Oil petrol pump.,Transportation
Renewed my home inverter battery.,Utilities
Cleared monthly rent through UPI transfer.,Rent
Booked an auto ride via Rapido.,Transportation
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Ordered grocery essentials from Jiomart online.,Groceries
Refueled my car at an Indian Oil petrol pump.,Transportation
Paid for an annual membership of Times of India e-paper.,Subscriptions
Recharged Jio mobile plan for the month.,Utilities
Got eye checkup and glasses from Lenskart.,Healthcare
Stopped by a local kirana shop for daily essentials.,Groceries
Settled lease extension fees for my flat.,Rent
Ordered a pair of sneakers from Flipkart.,Shopping
Got a designer lehenga from Manyavar.,Shopping
Paid my LPG gas bill for Indane.,Utilities
Bought a monthly metro pass for Chennai Metro.,Transportation
Recharged Jio mobile plan for the month.,Utilities
Rented a self-drive Zoomcar for a weekend trip.,Travel
Had chai and samosas at a local tea stall.,Dining
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Paid consultation fees at AIIMS Delhi.,Healthcare
Booked an online doctor appointment via Practo.,Healthcare
Renewed Cult.fit gym membership for six months.,Subscriptions
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Paid for a train sleeper class ticket on IRCTC.,Travel
Ordered biryani from Paradise Biryani House.,Dining
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Attended a music concert at NSCI Dome.,Entertainment
Settled lease extension fees for my flat.,Rent
Bought first-aid essentials from MedPlus.,Healthcare
Transferred rent to the landlord via Google Pay.,Rent
Booked an auto ride via Rapido.,Transportation
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Recharged my FASTag for highway travel.,Transportation
Renewed my home inverter battery.,Utilities
Purchased a laptop from Vijay Sales.,Shopping
Ordered biryani from Paradise Biryani House.,Dining
Tried out street food at Sarafa Bazaar in Indore.,Dining
Bought organic groceries from Nature’s Basket.,Groceries
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Paid PG accommodation fees via NoBroker.,Rent
Renewed my home inverter battery.,Utilities
Ordered grocery essentials from Jiomart online.,Groceries
Paid for car parking at Phoenix Mall.,Transportation
Signed up for a Udemy course on Python.,Subscriptions
Paid additional maintenance charges for my rented house.,Rent
Attended a music concert at NSCI Dome.,Entertainment
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Paid electricity bill via Paytm.,Utilities
Stopped by a local kirana shop for daily essentials.,Groceries
Recharged my FASTag for highway travel.,Transportation
Bought a subscription to Economic Times online.,Subscriptions
Purchased a Kindle book from Amazon.,Entertainment
Made an early EMI payment for home loan.,Rent
Paid for car parking at Phoenix Mall.,Transportation
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Paid for a trekking adventure in Himachal.,Entertainment
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Paid for a trekking adventure in Himachal.,Entertainment
Took an e-rickshaw ride in Delhi.,Transportation
Cleared monthly rent through UPI transfer.,Rent
Paid the BSNL landline bill.,Utilities
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Purchased a fitness band from Cult.fit.,Healthcare
Paid for a trekking adventure in Himachal.,Entertainment
Bought a Delhi Metro smart card recharge.,Travel
Ordered a smartwatch from Croma online.,Shopping
Bought a Delhi Metro smart card recharge.,Travel
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Bought an AC chair car ticket from IRCTC.,Travel
Had a dosa and filter coffee at MTR Bangalore.,Dining
Paid PG accommodation fees via NoBroker.,Rent
Had a masala dosa from Saravana Bhavan.,Dining
Paid electricity bill via Paytm.,Utilities
Paid the DTH recharge for Tata Sky.,Utilities
Paid the BSNL landline bill.,Utilities
Attended a music concert at NSCI Dome.,Entertainment
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Purchased a Kindle book from Amazon.,Entertainment
Paid PG accommodation fees via NoBroker.,Rent
Attended a music concert at NSCI Dome.,Entertainment
Paid PG accommodation fees via NoBroker.,Rent
Tried out street food at Sarafa Bazaar in Indore.,Dining
Ordered grocery essentials from Jiomart online.,Groceries
Had a masala dosa from Saravana Bhavan.,Dining
Bought a Delhi Metro smart card recharge.,Travel
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Went to an amusement park in Essel World.,Entertainment
Purchased health insurance from HDFC Ergo.,Healthcare
Purchased a Kindle book from Amazon.,Entertainment
Had a dental cleaning session at Clove Dental.,Healthcare
Paid for a train sleeper class ticket on IRCTC.,Travel
Bought organic groceries from Nature’s Basket.,Groceries
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Recharged my FASTag for highway travel.,Transportation
Cleared municipal water tax online.,Utilities
Got a designer lehenga from Manyavar.,Shopping
Bought a silk saree from Nalli Silks.,Shopping
Had a masala dosa from Saravana Bhavan.,Dining
Took an auto-rickshaw to the office.,Travel
Reserved a flight ticket via MakeMyTrip.,Travel
Paid for an annual membership of Times of India e-paper.,Subscriptions
Recharged Jio mobile plan for the month.,Utilities
Attended a music concert at NSCI Dome.,Entertainment
Upgraded my Netflix plan to premium.,Subscriptions
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Paid for a Zee5 yearly subscription.,Subscriptions
Cleared my Airtel broadband bill.,Utilities
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Recharged Jio mobile plan for the month.,Utilities
Got a designer lehenga from Manyavar.,Shopping
Picked up sportswear from Decathlon.,Shopping
Renewed my YouTube Premium plan.,Subscriptions
Ordered biryani from Paradise Biryani House.,Dining
Reserved a flight ticket via MakeMyTrip.,Travel
Bought ethnic wear from Fabindia.,Shopping
Ordered a pair of sneakers from Flipkart.,Shopping
Bought medicines from Apollo Pharmacy.,Healthcare
Renewed Cult.fit gym membership for six months.,Subscriptions
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Tried out street food at Sarafa Bazaar in Indore.,Dining
Paid for a trekking adventure in Himachal.,Entertainment
Paid for a train sleeper class ticket on IRCTC.,Travel
Picked up sportswear from Decathlon.,Shopping
Ordered grocery essentials from Jiomart online.,Groceries
Signed up for a Udemy course on Python.,Subscriptions
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Had a dosa and filter coffee at MTR Bangalore.,Dining
Ordered a full South Indian thali from Swiggy.,Dining
Renewed my YouTube Premium plan.,Subscriptions
Paid for a Zee5 yearly subscription.,Subscriptions
Stopped by a local kirana shop for daily essentials.,Groceries
Paid for a train sleeper class ticket on IRCTC.,Travel
Went for a fine dining experience at Taj Vivanta.,Dining
Refueled my car at an Indian Oil petrol pump.,Transportation
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Cleared municipal water tax online.,Utilities
Tried out street food at Sarafa Bazaar in Indore.,Dining
Got fresh paneer and vegetables from the local mandi.,Groceries
Transferred rent for my Bangalore apartment.,Rent
Took an e-rickshaw ride in Delhi.,Transportation
Bought first-aid essentials from MedPlus.,Healthcare
Transferred rent for my Bangalore apartment.,Rent
Paid for an annual membership of Times of India e-paper.,Subscriptions
Settled rental agreement paperwork costs.,Rent
Took an e-rickshaw ride in Delhi.,Transportation
Paid the BSNL landline bill.,Utilities
Paid for a Zee5 yearly subscription.,Subscriptions
Tried out street food at Sarafa Bazaar in Indore.,Dining
Purchased a Kindle book from Amazon.,Entertainment
Stopped by a local kirana shop for daily essentials.,Groceries
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Cleared monthly rent through UPI transfer.,Rent
Paid for a trekking adventure in Himachal.,Entertainment
Bought first-aid essentials from MedPlus.,Healthcare
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Cleared monthly rent through UPI transfer.,Rent
Took an auto-rickshaw to the office.,Travel
Cleared monthly rent through UPI transfer.,Rent
Renewed my YouTube Premium plan.,Subscriptions
Paid electricity bill via Paytm.,Utilities
Paid additional maintenance charges for my rented house.,Rent
Bought a subscription to Economic Times online.,Subscriptions
Went to an amusement park in Essel World.,Entertainment
Bought an annual Amazon Prime membership.,Subscriptions
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Picked up sportswear from Decathlon.,Shopping
Went to an amusement park in Essel World.,Entertainment
Ordered a smartwatch from Croma online.,Shopping
Cleared municipal water tax online.,Utilities
Got a Kurti from Biba for an event.,Shopping
Bought organic groceries from Nature’s Basket.,Groceries
Paid my LPG gas bill for Indane.,Utilities
Renewed my home inverter battery.,Utilities
Bought ethnic wear from Fabindia.,Shopping
Paid for excess baggage at Mumbai Airport.,Travel
Paid for car parking at Phoenix Mall.,Transportation
Bought a subscription to Economic Times online.,Subscriptions
Picked up sportswear from Decathlon.,Shopping
Bought a Delhi Metro smart card recharge.,Travel
Tried out street food at Sarafa Bazaar in Indore.,Dining
Went for a fine dining experience at Taj Vivanta.,Dining
Attended a music concert at NSCI Dome.,Entertainment
Renewed Cult.fit gym membership for six months.,Subscriptions
Tried out street food at Sarafa Bazaar in Indore.,Dining
Bought first-aid essentials from MedPlus.,Healthcare
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Renewed my YouTube Premium plan.,Subscriptions
Took an auto-rickshaw to the office.,Travel
Got fresh paneer and vegetables from the local mandi.,Groceries
Cleared my Airtel broadband bill.,Utilities
Paid for an annual membership of Times of India e-paper.,Subscriptions
Bought ethnic wear from Fabindia.,Shopping
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Went for a fine dining experience at Taj Vivanta.,Dining
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Purchased a fitness band from Cult.fit.,Healthcare
Watched a play at Prithvi Theatre.,Entertainment
Upgraded my Netflix plan to premium.,Subscriptions
Paid rent for my co-living space at Zolo.,Rent
Recharged Jio mobile plan for the month.,Utilities
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Paid PG accommodation fees via NoBroker.,Rent
Bought an AC chair car ticket from IRCTC.,Travel
Bought ethnic wear from Fabindia.,Shopping
Bought a Spotify Premium annual plan.,Entertainment
Picked up sportswear from Decathlon.,Shopping
Attended a stand-up comedy show in Mumbai.,Entertainment
Bought an AC chair car ticket from IRCTC.,Travel
Paid the DTH recharge for Tata Sky.,Utilities
Paid electricity bill via Paytm.,Utilities
Tried out street food at Sarafa Bazaar in Indore.,Dining
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Ordered a smartwatch from Croma online.,Shopping
Had a masala dosa from Saravana Bhavan.,Dining
Bought an AC chair car ticket from IRCTC.,Travel
Had a masala dosa from Saravana Bhavan.,Dining
Went to an amusement park in Essel World.,Entertainment
Ordered a pair of sneakers from Flipkart.,Shopping
Cleared municipal water tax online.,Utilities
Got fresh paneer and vegetables from the local mandi.,Groceries
Renewed Cult.fit gym membership for six months.,Subscriptions
Attended a music concert at NSCI Dome.,Entertainment
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Paid electricity bill via Paytm.,Utilities
Attended a stand-up comedy show in Mumbai.,Entertainment
Settled the maintenance charges for my society.,Utilities
Hired an Ola cab for an outstation trip.,Travel
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Transferred rent to the landlord via Google Pay.,Rent
Paid for a train sleeper class ticket on IRCTC.,Travel
Settled the maintenance charges for my society.,Utilities
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Had a dosa and filter coffee at MTR Bangalore.,Dining
